type,group,id,name,dnaScore,grade,effectiveGrade,flashMode,metricTension,livingScore,pinFlashScore,simFlashScore,angleSpreadScore,detail,mRange,rRange,ccRange,darkGlossPct,darkVoidPct,firstRepair,topWeakness
base,Bases,tungsten,Tungsten,30,D,Hard Rework,mixed,true,25,4,27,94,11,77,39,27,100,0,widen-spec-channel-spectrum,Living score is 25; the finish is not changing enough across light angles.
base,Bases,vantablack,Vantablack,17,D,Hard Rework,mixed,false,9,30,9,25,5,69,39,33,100,0,widen-spec-channel-spectrum,Living score is 9; the finish is not changing enough across light angles.
base,Bases,velvet_floc,Velvet Floc,27,D,Hard Rework,mixed,true,12,30,25,78,6,86,15,20,100,0,widen-spec-channel-spectrum,Living score is 12; the finish is not changing enough across light angles.
base,Bases,victory_lane,Victory Lane,28,D,Hard Rework,mixed,true,23,5,28,94,5,76,18,31,0,0,widen-spec-channel-spectrum,Living score is 23; the finish is not changing enough across light angles.
base,Bases,vintage_chrome,Vintage Chrome,35,D,Hard Rework,mixed,true,30,4,29,95,17,51,122,2,0,0,widen-spec-channel-spectrum,Living score is 30; the finish is not changing enough across light angles.
base,Bases,volcanic,Volcanic,40,D,Hard Rework,mixed,false,24,36,14,76,31,141,65,51,100,0,widen-spec-channel-spectrum,Living score is 24; the finish is not changing enough across light angles.
base,Bases,wasp_warning,Wasp Warning,45,D,Hard Rework,mixed,true,51,4,15,77,51,241,75,53,100,0,widen-spec-channel-spectrum,Living score is 51; the finish is not changing enough across light angles.
base,Bases,wet_look,Wet Look,28,D,Hard Rework,mixed,true,5,4,75,92,0,0,0,0,0,0,widen-spec-channel-spectrum,Living score is 5; the finish is not changing enough across light angles.
base,Bases,xirallic,Xirallic,31,D,Hard Rework,mixed,true,25,5,29,94,11,89,21,32,0,0,widen-spec-channel-spectrum,Living score is 25; the finish is not changing enough across light angles.
monolithic,Specials,acid_rain,Acid Rain,52,D,Provisional Rework - proof/intent review required before forcing material rewrite,mixed,true,46,17,26,91,100,166,136,144,0,0,rebalance-practical-sim-lighting,Living score is 46; the finish is not changing enough across light angles.
